               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10536,             0.11341,            0.054055,           0.0011809,            0.036585,           0.0013148,          0.00049236,            0.097845,             0.10645,            0.047216,            0.070034,           0.0033295,           0.0033295
                   1,            0.086904,             0.10444,            0.035325,              0.6803,              0.0205,            0.011759,           0.0031704,            0.084115,                0.11,            0.038723,             0.03999,           0.0066189,           0.0066189
                   2,             0.07733,            0.098169,            0.031508,              0.7977,            0.024867,            0.020553,           0.0055214,            0.085677,             0.11646,            0.037337,           0.0099023,           0.0098642,           0.0098642
                   3,            0.072547,            0.096745,            0.029411,             0.93547,            0.034389,            0.045828,            0.012893,            0.075135,             0.10077,            0.032858,            0.009802,            0.009802,            0.009802
                   4,            0.068304,             0.09187,            0.027879,             0.49641,             0.11467,            0.060134,            0.017928,             0.07286,             0.10083,            0.031255,            0.009802,            0.009802,            0.009802
                   5,            0.065576,            0.090191,             0.02638,             0.35967,             0.12633,             0.08661,             0.02628,            0.070418,            0.095409,            0.029618,            0.009736,            0.009736,            0.009736
                   6,            0.063878,            0.090926,            0.025105,             0.45902,             0.16742,             0.11347,            0.039505,            0.066301,            0.098303,            0.027258,             0.00967,             0.00967,             0.00967
                   7,            0.062248,            0.091937,            0.024274,             0.78261,            0.099372,             0.11901,            0.045552,            0.063837,            0.097746,            0.027726,            0.009604,            0.009604,            0.009604
                   8,            0.061447,            0.086527,            0.023667,             0.35568,              0.1792,             0.13984,            0.059317,            0.063053,            0.088279,            0.027147,            0.009538,            0.009538,            0.009538
                   9,            0.060546,            0.088128,            0.023118,             0.57197,             0.17949,             0.14744,            0.063356,            0.061497,            0.090193,            0.024928,            0.009472,            0.009472,            0.009472
                  10,            0.059655,            0.085613,            0.022399,             0.52088,             0.18429,             0.15612,            0.066951,             0.06224,            0.087987,            0.026511,            0.009406,            0.009406,            0.009406
                  11,            0.058494,            0.085581,             0.02199,             0.60454,             0.18955,             0.16704,            0.073497,             0.06004,            0.086299,             0.02565,             0.00934,             0.00934,             0.00934
                  12,            0.057698,            0.082653,            0.021647,              0.5011,             0.21206,             0.16863,            0.075498,             0.05947,            0.085043,            0.025045,            0.009274,            0.009274,            0.009274
                  13,            0.056916,            0.083916,            0.020984,             0.40963,             0.22547,             0.17582,            0.081407,            0.060588,            0.084509,            0.024895,            0.009208,            0.009208,            0.009208
                  14,            0.056193,            0.080533,             0.02063,             0.37845,             0.20831,             0.17949,            0.081454,            0.059508,            0.083828,            0.025155,            0.009142,            0.009142,            0.009142
                  15,            0.056043,              0.0852,            0.020203,             0.46651,             0.20705,             0.18389,            0.086627,            0.058921,            0.083181,            0.025214,            0.009076,            0.009076,            0.009076
                  16,            0.055274,            0.082042,            0.019901,             0.37882,             0.23401,             0.19582,            0.091639,            0.057358,             0.08337,            0.023764,             0.00901,             0.00901,             0.00901
                  17,            0.054637,            0.081325,            0.019525,             0.42108,             0.23787,             0.20484,            0.096652,            0.056978,            0.081864,            0.023473,            0.008944,            0.008944,            0.008944
