               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034953,            0.056405,           0.0057417,             0.73661,             0.76697,             0.78032,             0.46382,            0.034297,            0.054437,           0.0071741,            0.007624,            0.007624,            0.007624
                  38,            0.034525,            0.051752,           0.0054875,             0.79425,             0.73969,             0.79453,             0.47395,            0.034145,            0.054321,           0.0073953,            0.007558,            0.007558,            0.007558
                  39,            0.034588,            0.053939,           0.0053984,             0.74673,             0.72031,             0.76939,             0.46505,            0.034372,            0.055593,           0.0074184,            0.007492,            0.007492,            0.007492
                  40,            0.034437,            0.054484,           0.0054832,             0.77077,             0.75016,             0.78463,             0.48379,            0.033858,            0.055131,           0.0073111,            0.007426,            0.007426,            0.007426
                  41,             0.03428,            0.054195,           0.0052931,               0.777,             0.73802,             0.78281,             0.48133,            0.034025,             0.05521,           0.0067901,             0.00736,             0.00736,             0.00736
                  42,            0.034283,            0.054744,           0.0052328,              0.7945,             0.76298,             0.80513,             0.48409,            0.034305,            0.054691,            0.006483,            0.007294,            0.007294,            0.007294
                  43,            0.034018,            0.053415,           0.0051955,             0.74004,             0.77412,             0.79401,             0.49077,            0.033621,            0.054615,           0.0066212,            0.007228,            0.007228,            0.007228
                  44,             0.03392,            0.053172,           0.0051739,             0.78663,             0.74863,             0.79524,             0.47266,             0.03315,             0.05424,           0.0063728,            0.007162,            0.007162,            0.007162
                  45,            0.033828,            0.053484,           0.0050143,             0.77782,             0.77737,             0.81549,             0.51359,             0.03276,            0.053688,           0.0062003,            0.007096,            0.007096,            0.007096
                  46,            0.033772,            0.055163,           0.0050074,             0.78617,             0.76389,             0.80926,             0.48946,            0.033068,            0.054029,           0.0063822,             0.00703,             0.00703,             0.00703
                  47,            0.033472,            0.053255,           0.0050276,             0.77052,             0.75756,             0.80075,             0.49238,            0.032931,            0.053106,            0.007161,            0.006964,            0.006964,            0.006964
                  48,            0.033519,            0.053297,           0.0048477,             0.78504,             0.78571,             0.81902,             0.50304,            0.032759,            0.052811,           0.0061601,            0.006898,            0.006898,            0.006898
                  49,            0.033339,            0.053072,           0.0047158,             0.80801,             0.77778,             0.80996,             0.51715,            0.032504,            0.052554,           0.0067902,            0.006832,            0.006832,            0.006832
                  50,            0.033182,            0.053274,           0.0048669,             0.80241,             0.78496,             0.82528,             0.51953,            0.032611,            0.052222,           0.0059485,            0.006766,            0.006766,            0.006766
                  51,            0.033106,            0.052833,           0.0046891,             0.86163,             0.75867,             0.82338,             0.53178,            0.032149,            0.052101,           0.0059763,              0.0067,              0.0067,              0.0067
                  52,            0.032922,            0.053137,            0.004697,             0.76354,             0.79738,             0.81676,              0.5322,            0.032158,            0.052249,           0.0063731,            0.006634,            0.006634,            0.006634
                  53,            0.032752,            0.051417,            0.004588,             0.83697,               0.742,             0.81792,             0.53522,            0.031791,            0.051523,           0.0065877,            0.006568,            0.006568,            0.006568
                  54,            0.032596,            0.052432,           0.0045618,             0.75957,             0.80137,             0.81786,             0.52859,            0.031883,            0.052102,           0.0059903,            0.006502,            0.006502,            0.006502
                  55,            0.032506,            0.051296,           0.0044629,             0.81363,             0.77989,              0.8162,             0.53865,            0.031487,            0.051691,           0.0063553,            0.006436,            0.006436,            0.006436
                  56,            0.032418,            0.051586,           0.0043981,             0.80495,             0.79623,             0.82418,             0.55648,            0.031396,            0.051504,           0.0059073,             0.00637,             0.00637,             0.00637
                  57,            0.032313,            0.051644,           0.0044402,             0.83066,             0.76298,             0.81635,             0.54645,            0.031337,            0.051767,           0.0061292,            0.006304,            0.006304,            0.006304
                  58,            0.032415,            0.052484,           0.0045229,             0.80266,             0.77596,             0.81542,             0.53683,             0.03146,            0.051464,           0.0060232,            0.006238,            0.006238,            0.006238
                  59,            0.032299,            0.051354,           0.0043803,             0.84488,             0.77719,             0.83619,             0.56012,            0.031049,            0.051121,           0.0057928,            0.006172,            0.006172,            0.006172
                  60,            0.031992,            0.051838,           0.0043199,             0.78309,              0.8349,             0.83805,             0.56176,            0.030734,            0.050274,           0.0060658,            0.006106,            0.006106,            0.006106
                  61,            0.031998,            0.052042,           0.0042485,             0.82829,             0.80066,             0.83419,             0.56387,            0.030883,            0.051683,           0.0056202,             0.00604,             0.00604,             0.00604
                  62,            0.031662,            0.050854,           0.0040372,             0.83275,              0.7886,             0.83153,             0.55505,            0.030717,            0.050702,           0.0058922,            0.005974,            0.005974,            0.005974
                  63,            0.031466,            0.049378,           0.0040078,             0.84142,             0.79351,             0.83531,             0.56625,            0.030397,            0.050385,            0.005519,            0.005908,            0.005908,            0.005908
                  64,            0.031641,            0.051124,           0.0040786,             0.83539,             0.78438,             0.83102,             0.56162,            0.030408,            0.050175,           0.0060202,            0.005842,            0.005842,            0.005842
                  65,            0.031431,            0.050924,           0.0040893,             0.82396,             0.80355,             0.83593,             0.56489,             0.03048,            0.051247,           0.0058009,            0.005776,            0.005776,            0.005776
