               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092573,             0.10015,            0.038918,             0.91032,            0.035238,            0.027331,           0.0077111,            0.080312,            0.086938,            0.035059,            0.070034,           0.0033295,           0.0033295
                   1,            0.076443,            0.094813,            0.028014,             0.93411,            0.041485,            0.042293,            0.012721,            0.075528,             0.09281,            0.032096,             0.03999,           0.0066189,           0.0066189
                   2,            0.074652,            0.095634,            0.026482,             0.42468,             0.10116,            0.051585,            0.018802,            0.073655,            0.087823,            0.030902,           0.0099023,           0.0098642,           0.0098642
                   3,            0.074241,            0.097419,            0.026579,             0.90722,            0.053356,            0.066346,            0.024104,            0.072086,            0.092984,            0.030933,            0.009802,            0.009802,            0.009802
                   4,            0.070666,            0.093483,            0.025337,              0.4441,             0.12943,            0.079948,            0.028634,            0.070519,            0.091263,             0.02851,            0.009802,            0.009802,            0.009802
                   5,            0.068357,            0.091964,            0.024532,             0.84713,            0.074492,             0.09571,            0.035672,            0.067263,            0.090469,            0.028325,            0.009736,            0.009736,            0.009736
                   6,            0.066786,            0.094068,             0.02382,             0.46204,             0.16358,             0.12333,             0.04511,            0.067717,             0.08179,             0.02686,             0.00967,             0.00967,             0.00967
                   7,            0.065343,            0.094088,            0.022716,             0.43311,             0.15866,             0.12356,            0.048797,            0.065582,             0.08011,            0.025087,            0.009604,            0.009604,            0.009604
                   8,            0.063698,            0.089354,            0.022377,             0.57262,             0.17581,             0.16149,            0.064774,            0.063413,            0.078721,            0.024263,            0.009538,            0.009538,            0.009538
                   9,            0.062701,            0.090554,            0.021878,             0.51391,             0.15541,             0.15574,            0.069122,            0.061617,            0.076019,            0.023624,            0.009472,            0.009472,            0.009472
                  10,            0.061412,            0.087808,             0.02104,             0.67611,             0.18814,             0.18482,            0.079094,            0.061673,            0.075655,            0.022422,            0.009406,            0.009406,            0.009406
                  11,            0.060513,            0.087642,            0.020513,             0.69313,             0.15057,              0.1649,            0.071286,            0.061519,            0.074274,            0.022763,             0.00934,             0.00934,             0.00934
                  12,            0.059459,             0.08549,            0.019847,             0.42198,              0.2718,             0.19757,            0.087337,            0.059113,            0.074716,             0.02116,            0.009274,            0.009274,            0.009274
                  13,            0.058474,            0.086474,            0.019182,             0.42929,             0.23186,             0.19231,            0.085088,             0.05924,            0.075075,             0.02081,            0.009208,            0.009208,            0.009208
                  14,             0.05784,            0.083141,            0.018744,             0.40231,             0.22967,               0.155,            0.069937,            0.061583,            0.073526,            0.022048,            0.009142,            0.009142,            0.009142
                  15,            0.057227,             0.08679,            0.018246,             0.48525,             0.20342,             0.20199,            0.088191,            0.059743,            0.075639,            0.022436,            0.009076,            0.009076,            0.009076
                  16,            0.056919,            0.084786,            0.018203,              0.5977,             0.24413,             0.23952,             0.10539,            0.057298,               0.073,            0.020611,             0.00901,             0.00901,             0.00901
                  17,            0.055974,            0.082428,            0.017485,             0.45415,             0.25629,             0.22389,             0.10261,            0.057519,            0.072766,            0.020671,            0.008944,            0.008944,            0.008944
                  18,            0.055293,            0.080793,            0.016967,             0.67266,              0.2369,             0.25867,             0.11494,            0.056495,            0.073617,            0.020705,            0.008878,            0.008878,            0.008878
                  19,            0.055022,             0.08194,            0.016444,             0.62553,             0.25495,             0.25334,             0.10788,            0.058185,            0.074254,            0.021471,            0.008812,            0.008812,            0.008812
                  20,            0.054249,            0.082232,            0.016114,             0.53945,              0.2781,             0.27372,             0.12444,            0.056263,            0.070634,            0.020188,            0.008746,            0.008746,            0.008746
                  21,            0.053732,            0.079934,            0.015647,             0.67907,             0.29333,             0.29969,              0.1347,            0.055069,            0.070672,            0.019269,             0.00868,             0.00868,             0.00868
                  22,            0.053687,            0.082842,            0.015356,             0.55326,             0.26614,              0.2807,             0.12296,            0.056221,            0.069456,            0.019892,            0.008614,            0.008614,            0.008614
                  23,             0.05335,            0.080808,            0.015243,             0.68722,             0.23507,             0.27659,             0.12356,            0.056077,            0.071486,            0.020133,            0.008548,            0.008548,            0.008548
                  24,            0.052902,            0.080137,            0.015025,             0.59975,             0.29545,             0.30461,             0.13725,            0.055003,            0.070233,            0.017307,            0.008482,            0.008482,            0.008482
                  25,            0.052157,            0.077632,            0.014396,             0.58683,             0.28493,             0.29804,             0.12858,             0.05587,            0.069678,            0.017881,            0.008416,            0.008416,            0.008416
                  26,            0.051901,            0.080105,            0.014086,             0.64005,             0.32642,             0.35096,              0.1542,            0.054344,            0.068996,            0.016901,             0.00835,             0.00835,             0.00835
                  27,            0.051939,            0.079461,            0.013864,             0.65241,             0.28846,              0.3428,             0.15708,            0.053683,            0.070161,            0.016271,            0.008284,            0.008284,            0.008284
                  28,            0.051545,            0.078236,            0.013489,             0.63675,             0.28977,             0.34752,              0.1518,            0.054993,             0.06948,              0.0169,            0.008218,            0.008218,            0.008218
                  29,            0.051007,            0.079423,            0.013134,             0.47389,             0.37024,             0.38464,             0.16419,            0.053128,            0.070015,            0.015988,            0.008152,            0.008152,            0.008152
                  30,            0.050513,             0.07568,            0.012642,             0.63701,             0.34416,             0.34843,             0.15742,            0.053063,            0.069844,            0.015321,            0.008086,            0.008086,            0.008086
                  31,            0.050135,            0.075746,            0.012474,             0.63722,              0.3435,             0.38045,             0.17366,            0.054118,            0.070301,            0.015193,             0.00802,             0.00802,             0.00802
                  32,            0.050073,             0.07546,            0.012319,             0.54235,             0.39693,             0.42275,              0.1967,            0.051266,            0.068766,            0.014526,            0.007954,            0.007954,            0.007954
                  33,            0.049736,            0.076574,            0.011859,             0.55286,              0.3423,             0.39974,             0.18742,            0.052179,            0.069394,            0.014146,            0.007888,            0.007888,            0.007888
                  34,             0.04953,            0.075393,            0.011611,             0.63073,             0.39221,             0.44877,             0.21407,            0.051053,            0.067689,            0.013461,            0.007822,            0.007822,            0.007822
                  35,            0.049169,            0.075914,            0.011464,             0.64639,             0.38631,             0.44489,             0.19576,            0.051281,             0.06803,            0.013322,            0.007756,            0.007756,            0.007756
                  36,            0.048883,            0.074847,            0.011213,             0.46667,             0.45886,             0.45275,             0.20975,            0.051962,            0.067267,            0.012741,             0.00769,             0.00769,             0.00769
                  37,            0.048986,            0.076157,            0.011105,              0.5556,             0.46507,             0.49826,             0.22488,            0.050174,            0.068059,            0.012776,            0.007624,            0.007624,            0.007624
                  38,            0.048476,            0.070024,            0.010483,             0.60917,             0.45692,             0.49616,             0.24034,            0.049714,            0.066808,            0.012544,            0.007558,            0.007558,            0.007558
                  39,            0.048251,            0.071873,            0.010534,             0.57887,             0.47223,             0.51241,             0.24145,            0.049855,            0.067107,            0.011994,            0.007492,            0.007492,            0.007492
                  40,            0.047863,             0.07388,            0.010264,             0.57413,             0.53193,              0.5298,             0.24124,            0.050914,            0.067754,            0.011532,            0.007426,            0.007426,            0.007426
                  41,            0.048014,            0.072901,            0.010017,             0.61132,             0.50055,             0.53379,             0.24735,            0.049598,            0.067387,            0.010985,             0.00736,             0.00736,             0.00736
                  42,            0.047534,            0.072974,           0.0095607,             0.56803,             0.52253,             0.54019,             0.25876,            0.048982,            0.066779,             0.01086,            0.007294,            0.007294,            0.007294
                  43,            0.047172,            0.071759,           0.0095048,             0.65018,             0.48617,             0.55775,             0.25209,            0.049981,            0.068859,             0.01092,            0.007228,            0.007228,            0.007228
                  44,            0.047118,            0.071269,           0.0093334,             0.67023,             0.50027,             0.56034,                0.27,            0.048063,            0.066396,            0.010237,            0.007162,            0.007162,            0.007162
                  45,            0.047021,            0.071721,           0.0090097,             0.66752,             0.51108,             0.57237,             0.26523,             0.04891,            0.066699,            0.010454,            0.007096,            0.007096,            0.007096
